,cities,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
0,Busselton,0,AU,1578358068,19,-33.64,115.35,82.99,7.34
1,Dikson,100,RU,1578358216,95,73.51,80.55,12.13,10.51
2,Atuona,0,PF,1578358216,70,-9.8,-139.03,80.55,12.33
3,Kattivakkam,40,IN,1578358216,88,13.22,80.32,80.01,8.05
4,Chulym,100,RU,1578358216,95,55.09,80.97,23.22,8.86
5,Hilo,90,US,1578358192,57,19.71,-155.08,78.8,6.93
6,Rikitea,95,PF,1578358216,74,-23.12,-134.97,76.91,12.15
7,Butaritari,100,KI,1578358216,76,3.07,172.79,84.87,18.25
8,Castro,90,CL,1578358216,100,-42.48,-73.76,53.6,9.17
9,Ushuaia,75,AR,1578357994,66,-54.81,-68.31,50.0,6.93
10,Arkhara,100,RU,1578358217,87,49.42,130.09,6.6,4.41
11,Kurikka,90,FI,1578358217,100,62.62,22.4,35.01,9.17
12,Kapaa,75,US,1578358217,74,22.08,-159.32,80.6,17.22
13,Bluff,60,AU,1578358217,56,-23.58,149.07,83.55,13.71
14,Port Alfred,100,ZA,1578358217,97,-33.59,26.89,68.0,9.04
15,Coquimbo,0,CL,1578358217,64,-29.95,-71.34,68.0,8.05
16,Atar,59,MR,1578358217,13,20.52,-13.05,51.75,8.23
17,Airai,99,TL,1578358217,63,-8.93,125.41,76.66,3.31
18,Pietermaritzburg,100,ZA,1578358217,95,-29.6,30.38,72.0,1.66
19,Constitucion,75,MX,1578358217,9,23.99,-104.67,68.0,4.7
20,Plettenberg Bay,100,ZA,1578358217,89,-34.05,23.37,66.13,6.55
21,Carnarvon,90,ZA,1578358217,68,-30.97,22.13,65.91,13.02
22,Mar del Plata,67,AR,1578358164,59,-46.43,-67.52,61.97,7.38
23,Yellowknife,75,CA,1578358218,74,62.45,-114.38,-22.0,8.05
24,Soe,90,EE,1578358218,100,57.91,26.05,36.0,9.17
25,Kieta,39,PG,1578358218,67,-6.22,155.63,86.2,5.82
26,Yomou,12,GN,1578358218,50,7.57,-9.26,65.82,0.89
27,Vaini,75,IN,1578358218,94,15.34,74.49,68.0,4.7
28,Alattyan,8,HU,1578358218,85,47.43,20.04,24.8,2.24
29,Hobart,75,AU,1578358121,63,-42.88,147.33,71.01,13.87
30,Alice Springs,96,AU,1578358218,39,-23.7,133.88,82.4,14.99
31,East London,100,ZA,1578358218,75,-33.02,27.91,73.35,7.52
32,Bredasdorp,94,ZA,1578358218,77,-34.53,20.04,64.99,2.24
33,Esperance,0,AU,1578358218,18,-33.86,121.89,84.2,18.34
34,Arraial do Cabo,75,BR,1578358219,94,-22.97,-42.02,77.0,3.36
35,Fuyang,100,CN,1578358080,95,32.89,115.81,39.27,8.66
36,Iwaki,75,JP,1578358199,100,37.05,140.89,45.0,3.36
37,Cape Town,99,ZA,1578358157,68,-33.93,18.42,66.99,19.46
